50,,,,,,,,,,,,,,
219,335,219,500,,,,,,,,,,,
670,689,670,1000,,,,,,,,,,,
1285,1052,1285,1500,,500,,,,,,,,,
1505,1409,1505,2000,,,77,78,77,500,,,,,
,,,,,,399,409,399,1000,,,,,
,,,,,,956,795,956,1500,,,,,
,,,,,,1201,1127,1201,2000,950,,,,
,,,,,,,,,,,76,76,76,500
,,,,,,,,,,,128,129,128,1000
,,,,,,,,,,,627,539,627,1500
,,,,,,,,,,,897,845,897,2000
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,500,,,,,,,,,,,
,,,,219,335,219,50,,,,,,,
,,,,77,78,77,500,,,,,,,
,,,,76,76,76,950,,,,,,,
,,,,,,,,,,,,,1000,
,,,,,,,,,670,689,670,50,,
,,,,,,,,,399,409,399,500,,
,,,,,,,,,128,129,128,950,,
,,,1500,,,,,,,,,,,
,,,,1285,1052,1285,50,,,,,,,
,,,,956,795,956,500,,,,,,,
,,,,627,539,627,950,,,,,,2000,
,,,,,,,,,1505,1409,1505,50,,
,,,,,,,,,1201,1127,1201,500,,
,,,,,,,,,897,845,897,950,,
